127.0.0.1, 2020-04-16 09:32:21, GET, /rlabs_111/default/user/logout, HTTP/1.1, 200, 0.042721
127.0.0.1, 2020-04-16 09:32:23, GET, /rlabs_111/showPCs/get_OUs, HTTP/1.1, 200, 0.088738
127.0.0.1, 2020-04-16 09:32:29, GET, /rlabs_111/default/user/logout, HTTP/1.1, 200, 0.018273
127.0.0.1, 2020-04-16 09:32:41, GET, /rlabs_111, HTTP/1.1, 303, 0.011674
127.0.0.1, 2020-04-16 09:32:41, GET, /rlabs_111/default/user/login, HTTP/1.1, 200, 0.013129
127.0.0.1, 2020-04-16 09:32:43, GET, /rlabs_111/showPCs/get_OUs, HTTP/1.1, 303, 0.034532
127.0.0.1, 2020-04-16 09:32:43, GET, /rlabs_111/default/user/login, HTTP/1.1, 200, 0.019681
127.0.0.1, 2020-04-16 09:32:45, GET, /rlabs_111/showPCs/get_OUs, HTTP/1.1, 303, 0.017242
127.0.0.1, 2020-04-16 09:32:45, GET, /rlabs_111/default/user/login, HTTP/1.1, 200, 0.019898
127.0.0.1, 2020-04-16 09:32:46, GET, /rlabs_111/showPCs/get_OUs, HTTP/1.1, 303, 0.040103
127.0.0.1, 2020-04-16 09:32:46, GET, /rlabs_111/default/user/login, HTTP/1.1, 200, 0.023969
127.0.0.1, 2020-04-16 09:32:54, POST, /rlabs_111/default/user/login, HTTP/1.1, 303, 4.165922
127.0.0.1, 2020-04-16 09:32:54, GET, /rlabs_111/default/user/login, HTTP/1.1, 200, 0.044365
127.0.0.1, 2020-04-16 09:33:04, POST, /rlabs_111/default/user/login, HTTP/1.1, 303, 4.108232
127.0.0.1, 2020-04-16 09:33:05, GET, /rlabs_111/showPCs/get_OUs, HTTP/1.1, 200, 0.150479
127.0.0.1, 2020-04-16 09:34:12, GET, /rlabs_111/default/user/logout, HTTP/1.1, 200, 0.045799
127.0.0.1, 2020-04-16 09:34:15, GET, /rlabs_111/showPCs/get_OUs, HTTP/1.1, 200, 0.131429
127.0.0.1, 2020-04-16 09:34:19, GET, /rlabs_111/default/user/logout, HTTP/1.1, 200, 0.033900
127.0.0.1, 2020-04-16 09:34:30, POST, /rlabs_111/default/user/logout, HTTP/1.1, 303, 0.025599
127.0.0.1, 2020-04-16 09:34:30, GET, /rlabs_111/default/index, HTTP/1.1, 303, 0.011272
127.0.0.1, 2020-04-16 09:34:30, GET, /rlabs_111/showPCs/get_OUs, HTTP/1.1, 200, 0.061176
127.0.0.1, 2020-04-16 09:34:36, GET, /rlabs_111/default/user/logout, HTTP/1.1, 200, 0.022754
127.0.0.1, 2020-04-16 09:34:46, GET, /rlabs_111/, HTTP/1.1, 303, 0.012017
127.0.0.1, 2020-04-16 09:34:46, GET, /rlabs_111/showPCs/get_OUs, HTTP/1.1, 200, 0.064333
127.0.0.1, 2020-04-16 09:34:46, GET, /rlabs_111/showPCs/get_OUs, HTTP/1.1, 200, 0.115577
127.0.0.1, 2020-04-16 09:34:50, GET, /, HTTP/1.1, 303, 0.000273
127.0.0.1, 2020-04-16 09:34:51, GET, /welcome/default/index, HTTP/1.1, 200, 0.500072
127.0.0.1, 2020-04-16 09:34:51, GET, /welcome/default/index, HTTP/1.1, 200, 0.013068
127.0.0.1, 2020-04-16 09:34:51, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.000205
127.0.0.1, 2020-04-16 09:34:53, GET, /admin/default/index, HTTP/1.1, 200, 0.102166
127.0.0.1, 2020-04-16 09:34:53, GET, /admin/static/_2.19.1/css/calendar.css, HTTP/1.1, 200, 0.000269
127.0.0.1, 2020-04-16 09:34:53, GET, /admin/static/_2.19.1/js/jquery.js, HTTP/1.1, 200, 0.000300
127.0.0.1, 2020-04-16 09:34:53, GET, /admin/static/_2.19.1/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.000709
127.0.0.1, 2020-04-16 09:34:53, GET, /admin/static/_2.19.1/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.000674
127.0.0.1, 2020-04-16 09:34:53, GET, /admin/static/_2.19.1/js/calendar.js, HTTP/1.1, 200, 0.001340
127.0.0.1, 2020-04-16 09:34:53, GET, /admin/static/_2.19.1/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.000701
127.0.0.1, 2020-04-16 09:34:53, GET, /admin/static/_2.19.1/js/web2py.js, HTTP/1.1, 200, 0.001985
127.0.0.1, 2020-04-16 09:34:53, GET, /admin/static/_2.19.1/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.000333
127.0.0.1, 2020-04-16 09:34:53, GET, /admin/static/_2.19.1/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000713
127.0.0.1, 2020-04-16 09:34:53, GET, /admin/static/_2.19.1/js/bootstrap.min.js, HTTP/1.1, 200, 0.002211
127.0.0.1, 2020-04-16 09:34:53, GET, /admin/static/_2.19.1/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.002363
127.0.0.1, 2020-04-16 09:34:53, GET, /admin/static/_2.19.1/plugin_multiselect/start.js, HTTP/1.1, 200, 0.003372
127.0.0.1, 2020-04-16 09:34:53, GET, /admin/static/_2.19.1/images/questions.png, HTTP/1.1, 200, 0.001876
127.0.0.1, 2020-04-16 09:34:53, GET, /admin/static/_2.19.1/css/bootstrap.min.css, HTTP/1.1, 200, 0.006074
127.0.0.1, 2020-04-16 09:34:53, GET, /favicon.ico, HTTP/1.1, 400, 0.000220
127.0.0.1, 2020-04-16 09:34:56, POST, /admin/default/index, HTTP/1.1, 303, 0.015721
127.0.0.1, 2020-04-16 09:34:56, GET, /admin/default/site, HTTP/1.1, 200, 0.043457
127.0.0.1, 2020-04-16 09:34:56, GET, /admin/static/_2.19.1/images/folder_locked.png, HTTP/1.1, 200, 0.000268
127.0.0.1, 2020-04-16 09:34:56, GET, /admin/static/_2.19.1/images/folder.png, HTTP/1.1, 200, 0.000254
127.0.0.1, 2020-04-16 09:34:56, GET, /admin/static/_2.19.1/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.000345
127.0.0.1, 2020-04-16 09:34:56, GET, /favicon.ico, HTTP/1.1, 400, 0.000160
127.0.0.1, 2020-04-16 09:34:56, POST, /admin/default/check_version, HTTP/1.1, 200, 0.253876
127.0.0.1, 2020-04-16 09:34:59, GET, /admin/default/design/rlabs_111, HTTP/1.1, 200, 0.096542
127.0.0.1, 2020-04-16 09:34:59, GET, /admin/static/_2.19.1/images/search.png, HTTP/1.1, 200, 0.000353
127.0.0.1, 2020-04-16 09:34:59, GET, /admin/static/_2.19.1/images/help.png, HTTP/1.1, 200, 0.000426
127.0.0.1, 2020-04-16 09:34:59, GET, /admin/static/_2.19.1/images/delete_icon.png, HTTP/1.1, 200, 0.000240
127.0.0.1, 2020-04-16 09:34:59, GET, /admin/static/_2.19.1/images/test_icon.png, HTTP/1.1, 200, 0.000248
127.0.0.1, 2020-04-16 09:34:59, GET, /favicon.ico, HTTP/1.1, 400, 0.000185
127.0.0.1, 2020-04-16 09:35:01, GET, /rlabs_111/appadmin/index, HTTP/1.1, 200, 0.073194
127.0.0.1, 2020-04-16 09:35:01, GET, /rlabs_111/appadmin/hooks, HTTP/1.1, 200, 0.046772
127.0.0.1, 2020-04-16 09:35:03, GET, /rlabs_111/appadmin/select/db, HTTP/1.1, 200, 0.047729
127.0.0.1, 2020-04-16 09:35:15, GET, /rlabs_111/showPCs/get_OUs, HTTP/1.1, 200, 0.076467
127.0.0.1, 2020-04-16 09:35:23, GET, /rlabs_111/default/user/logout, HTTP/1.1, 200, 0.035671
127.0.0.1, 2020-04-16 09:35:29, POST, /rlabs_111/default/user/logout, HTTP/1.1, 303, 0.012743
127.0.0.1, 2020-04-16 09:35:29, GET, /rlabs_111/default/index, HTTP/1.1, 303, 0.011872
127.0.0.1, 2020-04-16 09:35:30, GET, /rlabs_111/showPCs/get_OUs, HTTP/1.1, 200, 0.087005
127.0.0.1, 2020-04-16 09:36:05, GET, /rlabs_111/showPCs/get_OUs, HTTP/1.1, 200, 0.128392
127.0.0.1, 2020-04-16 09:36:12, GET, /rlabs_111/default/user/logout, HTTP/1.1, 200, 0.034237
127.0.0.1, 2020-04-16 09:38:03, POST, /rlabs_111/default/user/logout, HTTP/1.1, 500, 0.108423
127.0.0.1, 2020-04-16 09:38:03, GET, /favicon.ico, HTTP/1.1, 400, 0.000243
127.0.0.1, 2020-04-16 09:38:05, GET, /admin/default/ticket/rlabs_111/127.0.0.1.2020-04-16.09-38-03.aed020be-7828-4997-9764-c9b97e876543, HTTP/1.1, 200, 0.088822
127.0.0.1, 2020-04-16 09:38:05, GET, /favicon.ico, HTTP/1.1, 400, 0.000173
127.0.0.1, 2020-04-16 09:38:31, POST, /rlabs_111/default/user/logout, HTTP/1.1, 303, 0.043591
127.0.0.1, 2020-04-16 09:38:31, GET, /rlabs_111/default/index, HTTP/1.1, 303, 0.027246
127.0.0.1, 2020-04-16 09:38:31, GET, /rlabs_111/showPCs/get_OUs, HTTP/1.1, 200, 0.149770
127.0.0.1, 2020-04-16 09:38:35, GET, /rlabs_111/default/user/logout, HTTP/1.1, 200, 0.018788
127.0.0.1, 2020-04-16 09:38:38, GET, /rlabs_111/default/user/logout, HTTP/1.1, 200, 0.043760
127.0.0.1, 2020-04-16 09:38:38, GET, /rlabs_111/static/images/favicon.ico, HTTP/1.1, 200, 0.000271
127.0.0.1, 2020-04-16 09:38:43, GET, /rlabs_111/showPCs/get_OUs, HTTP/1.1, 200, 0.074190
127.0.0.1, 2020-04-16 09:38:47, GET, /rlabs_111/default/user/logout, HTTP/1.1, 200, 0.044052
127.0.0.1, 2020-04-16 09:45:39, GET, /rlabs_111/showPCs/get_OUs, HTTP/1.1, 200, 0.157564
127.0.0.1, 2020-04-16 09:46:01, GET, /rlabs_111/default/user/logout, HTTP/1.1, 200, 0.077176
127.0.0.1, 2020-04-16 09:46:07, POST, /rlabs_111/default/user/logout, HTTP/1.1, 303, 0.012945
127.0.0.1, 2020-04-16 09:46:07, GET, /rlabs_111/default/index, HTTP/1.1, 303, 0.011822
127.0.0.1, 2020-04-16 09:46:07, GET, /rlabs_111/showPCs/get_OUs, HTTP/1.1, 200, 0.067372
127.0.0.1, 2020-04-16 09:47:08, GET, /rlabs_111/default/user/logout, HTTP/1.1, 200, 0.035695
127.0.0.1, 2020-04-16 09:47:13, POST, /rlabs_111/default/user/logout, HTTP/1.1, 303, 0.014532
127.0.0.1, 2020-04-16 09:47:13, GET, /rlabs_111/default/index, HTTP/1.1, 303, 0.014571
127.0.0.1, 2020-04-16 09:47:13, GET, /rlabs_111/showPCs/get_OUs, HTTP/1.1, 200, 0.136683
127.0.0.1, 2020-04-16 09:50:20, GET, /rlabs_111/showPCs/get_OUs, HTTP/1.1, 200, 0.116927
127.0.0.1, 2020-04-16 09:50:21, GET, /rlabs_111/showPCs/get_OUs, HTTP/1.1, 200, 0.103384
127.0.0.1, 2020-04-16 09:50:37, GET, /rlabs_111, HTTP/1.1, 303, 0.022054
127.0.0.1, 2020-04-16 09:50:37, GET, /rlabs_111/default/user/login, HTTP/1.1, 200, 0.014387
127.0.0.1, 2020-04-16 09:50:54, GET, /rlabs_111/default/user/login, HTTP/1.1, 200, 0.047180
127.0.0.1, 2020-04-16 09:50:54, GET, /rlabs_111/static/images/favicon.ico, HTTP/1.1, 200, 0.000298
127.0.0.1, 2020-04-16 09:51:06, POST, /rlabs_111/default/user/login, HTTP/1.1, 303, 3.215831
127.0.0.1, 2020-04-16 09:51:06, GET, /rlabs_111/default/user/login, HTTP/1.1, 200, 0.043961
127.0.0.1, 2020-04-16 09:51:11, GET, /rlabs_111/showPCs/get_OUs, HTTP/1.1, 303, 0.034043
127.0.0.1, 2020-04-16 09:51:11, GET, /rlabs_111/default/user/login, HTTP/1.1, 200, 0.024212
127.0.0.1, 2020-04-16 09:51:12, GET, /rlabs_111/showPCs/get_OUs, HTTP/1.1, 303, 0.034796
127.0.0.1, 2020-04-16 09:51:12, GET, /rlabs_111/default/user/login, HTTP/1.1, 200, 0.038014
127.0.0.1, 2020-04-16 09:51:22, POST, /rlabs_111/default/user/login, HTTP/1.1, 303, 4.107653
127.0.0.1, 2020-04-16 09:51:23, GET, /rlabs_111/showPCs/get_OUs, HTTP/1.1, 200, 0.138073
127.0.0.1, 2020-04-16 09:51:29, GET, /rlabs_111/default/user/logout, HTTP/1.1, 303, 0.016998
127.0.0.1, 2020-04-16 09:51:29, GET, /rlabs_111/default/index, HTTP/1.1, 303, 0.011989
127.0.0.1, 2020-04-16 09:51:29, GET, /rlabs_111/default/user/login, HTTP/1.1, 200, 0.023276
127.0.0.1, 2020-04-16 09:51:31, GET, /rlabs_111/showPCs/get_OUs, HTTP/1.1, 303, 0.034812
127.0.0.1, 2020-04-16 09:51:31, GET, /rlabs_111/default/user/login, HTTP/1.1, 200, 0.031343
127.0.0.1, 2020-04-16 09:51:33, GET, /rlabs_111/showPCs/get_OUs, HTTP/1.1, 303, 0.028892
127.0.0.1, 2020-04-16 09:51:33, GET, /rlabs_111/default/user/login, HTTP/1.1, 200, 0.019809
127.0.0.1, 2020-04-16 09:51:44, POST, /rlabs_111/default/user/login, HTTP/1.1, 303, 3.971554
127.0.0.1, 2020-04-16 09:51:44, GET, /rlabs_111/default/user/login, HTTP/1.1, 200, 0.023649
127.0.0.1, 2020-04-16 09:51:57, POST, /rlabs_111/default/user/login, HTTP/1.1, 303, 4.125768
127.0.0.1, 2020-04-16 09:51:58, GET, /rlabs_111/showPCs/get_OUs, HTTP/1.1, 200, 0.158327
127.0.0.1, 2020-04-16 09:52:03, POST, /rlabs_111/showPCs/get_Labs, HTTP/1.1, 200, 0.079291
127.0.0.1, 2020-04-16 09:52:05, POST, /rlabs_111/showPCs/get_remoteClients, HTTP/1.1, 200, 1.663964
127.0.0.1, 2020-04-16 09:52:18, POST, /rlabs_111/connectPC/do_reserve, HTTP/1.1, 200, 0.788891
127.0.0.1, 2020-04-16 09:53:38, POST, /rlabs_111/connectPC/check_pc_status, HTTP/1.1, 200, 80.081699
127.0.0.1, 2020-04-16 09:54:13, POST, /rlabs_111/connectPC/check_pc_status, HTTP/1.1, 200, 35.407345
127.0.0.1, 2020-04-16 09:54:13, GET, /rlabs_111/showPCs/get_OUs, HTTP/1.1, 200, 0.052621
127.0.0.1, 2020-04-16 09:55:12, POST, /rlabs_111/connectPC/show_remotePC, HTTP/1.1, 200, 0.028619
127.0.0.1, 2020-04-16 09:55:12, GET, /favicon.ico, HTTP/1.1, 400, 0.000154
127.0.0.1, 2020-04-16 09:55:15, POST, /rlabs_111/events/getEventsWindowUnload, HTTP/1.1, 200, 0.034225
127.0.0.1, 2020-04-16 09:55:18, POST, /rlabs_111/showPCs/unreserve, HTTP/1.1, 200, 0.183559
127.0.0.1, 2020-04-16 09:55:18, GET, /rlabs_111/showPCs/get_OUs, HTTP/1.1, 200, 0.062825
127.0.0.1, 2020-04-16 09:57:08, GET, /rlabs_111/default/user/logout, HTTP/1.1, 303, 0.018546
127.0.0.1, 2020-04-16 09:57:08, GET, /rlabs_111/default/index, HTTP/1.1, 303, 0.009945
127.0.0.1, 2020-04-16 09:57:08, GET, /rlabs_111/default/user/login, HTTP/1.1, 200, 0.017786
127.0.0.1, 2020-04-16 09:57:09, GET, /rlabs_111/showPCs/get_OUs, HTTP/1.1, 303, 0.032578
127.0.0.1, 2020-04-16 09:57:09, GET, /rlabs_111/default/user/login, HTTP/1.1, 200, 0.020306
127.0.0.1, 2020-04-16 09:57:44, POST, /rlabs_111/default/user/login, HTTP/1.1, 303, 0.106748
127.0.0.1, 2020-04-16 09:57:44, GET, /rlabs_111/showPCs/get_OUs, HTTP/1.1, 200, 0.116479
127.0.0.1, 2020-04-16 10:00:46, GET, /rlabs_111/default/user/logout, HTTP/1.1, 303, 0.020389
127.0.0.1, 2020-04-16 10:00:46, GET, /rlabs_111/default/index, HTTP/1.1, 303, 0.013234
127.0.0.1, 2020-04-16 10:00:46, GET, /rlabs_111/default/user/login, HTTP/1.1, 200, 0.023863
127.0.0.1, 2020-04-16 10:00:49, GET, /rlabs_111/showPCs/get_OUs, HTTP/1.1, 303, 0.034839
127.0.0.1, 2020-04-16 10:00:49, GET, /rlabs_111/default/user/login, HTTP/1.1, 200, 0.025182
127.0.0.1, 2020-04-16 10:00:56, POST, /rlabs_111/default/user/login, HTTP/1.1, 200, 0.046780
127.0.0.1, 2020-04-16 10:01:07, POST, /rlabs_111/default/user/login, HTTP/1.1, 200, 0.052493
127.0.0.1, 2020-04-16 10:02:48, POST, /rlabs_111/default/user/login, HTTP/1.1, 200, 0.042709
127.0.0.1, 2020-04-16 10:02:48, GET, /rlabs_111/static/images/favicon.ico, HTTP/1.1, 200, 0.000346
127.0.0.1, 2020-04-16 10:02:58, GET, /rlabs_111/showPCs/get_OUs, HTTP/1.1, 303, 0.034221
127.0.0.1, 2020-04-16 10:02:58, GET, /rlabs_111/default/user/login, HTTP/1.1, 200, 0.025853
127.0.0.1, 2020-04-16 10:03:00, POST, /rlabs_111/default/user/login, HTTP/1.1, 200, 0.042022
127.0.0.1, 2020-04-16 10:03:04, GET, /rlabs_111/, HTTP/1.1, 303, 0.010711
127.0.0.1, 2020-04-16 10:03:04, GET, /rlabs_111/default/user/login, HTTP/1.1, 200, 0.014763
127.0.0.1, 2020-04-16 10:03:04, GET, /rlabs_111/default/user/login, HTTP/1.1, 200, 0.022879
127.0.0.1, 2020-04-16 10:03:17, POST, /rlabs_111/default/user/login, HTTP/1.1, 303, 4.104798
127.0.0.1, 2020-04-16 10:03:17, GET, /rlabs_111/default/user/login, HTTP/1.1, 200, 0.043165
127.0.0.1, 2020-04-16 10:03:32, POST, /rlabs_111/default/user/login, HTTP/1.1, 303, 4.091063
127.0.0.1, 2020-04-16 10:03:32, GET, /rlabs_111/default/index, HTTP/1.1, 303, 0.033769
127.0.0.1, 2020-04-16 10:03:32, GET, /rlabs_111/showPCs/get_OUs, HTTP/1.1, 200, 0.159719
127.0.0.1, 2020-04-16 10:05:11, GET, /, HTTP/1.1, 303, 0.000392
127.0.0.1, 2020-04-16 10:05:11, GET, /welcome/default/index, HTTP/1.1, 200, 0.039068
127.0.0.1, 2020-04-16 10:05:12, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.000239
127.0.0.1, 2020-04-16 10:05:13, GET, /admin/default/index, HTTP/1.1, 200, 0.045088
127.0.0.1, 2020-04-16 10:05:13, GET, /favicon.ico, HTTP/1.1, 400, 0.000197
127.0.0.1, 2020-04-16 10:05:16, POST, /admin/default/index, HTTP/1.1, 303, 0.015873
127.0.0.1, 2020-04-16 10:05:16, GET, /admin/default/site, HTTP/1.1, 200, 0.044450
127.0.0.1, 2020-04-16 10:05:16, GET, /favicon.ico, HTTP/1.1, 400, 0.000138
127.0.0.1, 2020-04-16 10:05:16, POST, /admin/default/check_version, HTTP/1.1, 200, 0.245798
127.0.0.1, 2020-04-16 10:05:20, GET, /admin/default/design/rlabs_111, HTTP/1.1, 200, 0.116229
127.0.0.1, 2020-04-16 10:05:20, GET, /favicon.ico, HTTP/1.1, 400, 0.000193
127.0.0.1, 2020-04-16 10:05:22, GET, /rlabs_111/default/index, HTTP/1.1, 303, 0.032753
127.0.0.1, 2020-04-16 10:05:22, GET, /rlabs_111/showPCs/get_OUs, HTTP/1.1, 200, 0.100725
127.0.0.1, 2020-04-16 10:05:28, GET, /rlabs_111/appadmin/index, HTTP/1.1, 200, 0.049351
127.0.0.1, 2020-04-16 10:05:28, GET, /rlabs_111/appadmin/hooks, HTTP/1.1, 200, 0.041739
127.0.0.1, 2020-04-16 10:05:30, GET, /rlabs_111/appadmin/select/db, HTTP/1.1, 200, 0.063032
127.0.0.1, 2020-04-16 10:06:05, POST, /rlabs_111/appadmin/select/db, HTTP/1.1, 200, 0.057112
127.0.0.1, 2020-04-16 10:06:09, POST, /rlabs_111/appadmin/select/db, HTTP/1.1, 200, 0.050935
127.0.0.1, 2020-04-16 10:06:52, GET, /rlabs_111/default/user/logout, HTTP/1.1, 303, 0.011244
